Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Update REFSMMAT for burn									-1	1	Update REFSMMAT For Burn		
Perform P52 IMU Realign (Preferred)	744000	MISSION_TIME							-1	1	P52 IMU Realign (Preferred)		
Fuel Cell O2 Purge	745800	MISSION_TIME		Eleventh Period of Activities					-1	1	Fuel Cell O2 Purging		
Perform P52 IMU Realign (REFSMMAT)	749700	MISSION_TIME							-1	1	P52 IMU Realign (REFSMMAT)		
Perform P40 SPS Thrusting	755580	MISSION_TIME							-1	1	P40 SPS Thrusting		
Copy Block Data 23	756660	MISSION_TIME							-1	1			
Perform P52 IMU Realign (Nominal) GET Align: 212:26:00	760200	MISSION_TIME							-1	1	P52 IMU Realign (Nominal)		
PTC Initiation Test (T0: 212:00:00)	762600	MISSION_TIME							-1	1	Start PTC		
Copy Landmark Tracking PAD	765600	MISSION_TIME							-1	1			
Terminate PTC	765960	MISSION_TIME							-1	1	Terminate PTC		
State Vector Update and W-Matrix	766800	MISSION_TIME							-1	1	P27 Auto Update		
P23 Star/Horizon Sighting	768000	MISSION_TIME							-1	1	P23 Cislunar Navigation		
Copy P27 Update	771000	MISSION_TIME							-1	1			
Adjust ORDEAL									-1	1	ORDEAL Initialization		
P22 Orbital Navigation	771900	MISSION_TIME							-1	1	P22 Auto optics		
P22 Orbital Navigation									-1	1	P22 Auto optics		
Copy Landmark Tracking PAD	774000	MISSION_TIME							-1	1			
State Vector Update	777600	MISSION_TIME							-1	1	P27 Auto Update		
P22 Orbital Navigation									-1	1	P22 Auto optics		
P22 Orbital Navigation									-1	1	P22 Auto optics		
P22 Orbital Navigation									-1	1	P22 Auto optics		
P22 Orbital Navigation									-1	1	P22 Auto optics		
State Vector Update	783000	MISSION_TIME							-1	1	P27 Auto Update		
G&N Power Down	788400	MISSION_TIME							-1	1	G&N Power Down		
Fuel Cell O2 Purge	789600	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
ECS Redundant Component Check	790800	MISSION_TIME							-1	1	ECS Redundant Component Check		
Copy Block Data 24	794580	MISSION_TIME							-1	1			
Waste Water Dump	811800	MISSION_TIME							-1	1	Waste Water Dump		
H2 Stratification Test	813600	MISSION_TIME							-1	1	H2 Stratification Test		
Record Systems Data (Column 11)	820800	MISSION_TIME							-1	0			
H2 PURGE LINE HTR - ON	823200	MISSION_TIME					"Panel 3, Lower Left"	H2PurgeLineSwitch	1	1			
Fuel Cell H2 Purge	824400	MISSION_TIME							-1	1	Fuel Cell H2 Purging		
H2 PURGE LINE HTR - OFF	825300	MISSION_TIME					"Panel 3, Lower Left"	H2PurgeLineSwitch	0	1			
Copy Block Data 25	829400	MISSION_TIME							-1	1			
G&N Power Up	838800	MISSION_TIME		Twelfth Period of Activities					-1	1	G&N Power Up		
Perform P51 IMU Orientation									-1	1	P51 IMU Orientation		
Copy Maneuver PAD	840420	MISSION_TIME							-1	1			
State Vector Update									-1	1	P27 Auto Update		
Perform P30 - External DV	842400	MISSION_TIME							-1	1	P30 External DV		
Update REFSMMAT for burn									-1	1	Update REFSMMAT For Burn		
Perform P52 IMU Realign (Preferred)									-1	1	P52 IMU Realign (Preferred)		
Fuel Cell O2 Purge	853200	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
Perform SCS Thrusting	859860	MISSION_TIME							-1	1	SCS SPS Thrusting		
State Vector Update	865200	MISSION_TIME							-1	1	P27 Auto Update		
